cluster,n_items,avg_raters,median_raters,std_raters,min_raters,max_raters,total_ratings
44,1923,191.13,124.0,224.06,74,3411,367544
32,3774,42.14,39.0,13.97,23,79,159044
46,2710,33.48,30.0,13.51,16,77,90723
35,2938,18.41,18.0,5.06,11,33,54081
33,2217,13.93,12.0,4.27,10,31,30888
22,6875,12.04,11.0,4.35,7,23,82774
21,2248,8.22,8.0,1.77,6,14,18476
9,3458,7.74,8.0,0.79,7,9,26775
5,4470,7.29,6.0,4.39,3,22,32572
16,4021,6.72,5.0,3.43,4,17,27034
25,2546,6.0,6.0,0.0,6,6,15276
18,4039,5.83,4.0,5.07,2,62,23558
0,2419,5.49,5.0,1.66,4,14,13270
48,8687,5.28,5.0,1.58,4,12,45854
27,4297,5.0,5.0,0.0,5,5,21485
10,7949,4.0,4.0,0.0,4,4,31796
15,5604,3.95,2.0,3.28,2,27,22163
36,1370,3.58,3.0,1.26,3,13,4907
29,5145,3.46,3.0,3.34,2,59,17813
13,417,3.3,2.0,5.42,2,59,1375
49,2071,3.29,3.0,2.05,2,25,6806
17,470,3.18,2.0,5.77,2,73,1494
38,5995,3.12,3.0,0.9,3,10,18692
47,17018,3.0,3.0,0.0,3,3,51054
43,12137,2.01,2.0,0.24,2,7,24424
23,47927,2.0,2.0,0.0,2,2,95854
26,2390,2.0,2.0,0.0,2,2,4780
4,37431,1.04,1.0,0.21,1,6,38897
2,11308,1.02,1.0,0.14,1,4,11490
41,4132,1.01,1.0,0.11,1,3,4177
31,230584,1.0,1.0,0.0,1,1,230584
20,8422,1.0,1.0,0.0,1,1,8422
